datetime,actual,prediction,residual,abs_error,hour,day,month,year,day_of_week,model
2022-06-30 05:00:00,7,6.089804482942167,0.9101955170578329,0.9101955170578329,5,30,6,2022,Thursday,SARIMA
2022-06-30 06:00:00,7,7.995070008114178,-0.9950700081141779,0.9950700081141779,6,30,6,2022,Thursday,SARIMA
2022-06-30 07:00:00,12,9.634688132692228,2.3653118673077724,2.3653118673077724,7,30,6,2022,Thursday,SARIMA
2022-06-30 08:00:00,19,13.735099571812786,5.2649004281872145,5.2649004281872145,8,30,6,2022,Thursday,SARIMA
2022-06-30 09:00:00,15,11.987755156597673,3.0122448434023266,3.0122448434023266,9,30,6,2022,Thursday,SARIMA
2022-06-30 10:00:00,14,11.079269377411684,2.920730622588316,2.920730622588316,10,30,6,2022,Thursday,SARIMA
2022-06-30 11:00:00,6,12.260775851253854,-6.260775851253854,6.260775851253854,11,30,6,2022,Thursday,SARIMA
2022-06-30 12:00:00,17,13.943217841123255,3.0567821588767448,3.0567821588767448,12,30,6,2022,Thursday,SARIMA
2022-06-30 13:00:00,17,13.350407241686046,3.649592758313954,3.649592758313954,13,30,6,2022,Thursday,SARIMA
2022-06-30 14:00:00,15,15.190152206210175,-0.19015220621017548,0.19015220621017548,14,30,6,2022,Thursday,SARIMA
2022-06-30 15:00:00,22,15.49551165255872,6.50448834744128,6.50448834744128,15,30,6,2022,Thursday,SARIMA
2022-06-30 16:00:00,20,15.464427923370753,4.535572076629247,4.535572076629247,16,30,6,2022,Thursday,SARIMA
2022-06-30 17:00:00,33,17.833903526202896,15.166096473797104,15.166096473797104,17,30,6,2022,Thursday,SARIMA
2022-06-30 18:00:00,16,15.529670476413328,0.47032952358667224,0.47032952358667224,18,30,6,2022,Thursday,SARIMA
2022-06-30 19:00:00,8,14.316275059623326,-6.316275059623326,6.316275059623326,19,30,6,2022,Thursday,SARIMA
2022-06-30 20:00:00,9,12.395907137065171,-3.395907137065171,3.395907137065171,20,30,6,2022,Thursday,SARIMA
2022-06-30 21:00:00,12,10.638716881509106,1.3612831184908938,1.3612831184908938,21,30,6,2022,Thursday,SARIMA
2022-06-30 22:00:00,11,9.693026589855869,1.3069734101441313,1.3069734101441313,22,30,6,2022,Thursday,SARIMA
2022-06-30 23:00:00,5,8.791299288743218,-3.791299288743218,3.791299288743218,23,30,6,2022,Thursday,SARIMA
2022-07-01 00:00:00,10,11.962034957949214,-1.9620349579492142,1.9620349579492142,0,1,7,2022,Friday,SARIMA
2022-07-01 01:00:00,2,6.856388990522922,-4.856388990522922,4.856388990522922,1,1,7,2022,Friday,SARIMA
2022-07-01 02:00:00,7,5.6484593218473025,1.3515406781526975,1.3515406781526975,2,1,7,2022,Friday,SARIMA
2022-07-01 03:00:00,3,5.301705329928221,-2.301705329928221,2.301705329928221,3,1,7,2022,Friday,SARIMA
2022-07-01 04:00:00,8,6.055200389184541,1.9447996108154593,1.9447996108154593,4,1,7,2022,Friday,SARIMA
2022-07-01 05:00:00,7,6.089804482942167,0.9101955170578329,0.9101955170578329,5,1,7,2022,Friday,SARIMA
2022-07-01 06:00:00,5,7.995070008114178,-2.995070008114178,2.995070008114178,6,1,7,2022,Friday,SARIMA
2022-07-01 07:00:00,7,9.634688132692228,-2.6346881326922276,2.6346881326922276,7,1,7,2022,Friday,SARIMA
2022-07-01 08:00:00,7,13.735099571812786,-6.7350995718127855,6.7350995718127855,8,1,7,2022,Friday,SARIMA
2022-07-01 09:00:00,17,11.987755156597673,5.012244843402327,5.012244843402327,9,1,7,2022,Friday,SARIMA
2022-07-01 10:00:00,18,11.079269377411684,6.920730622588316,6.920730622588316,10,1,7,2022,Friday,SARIMA
2022-07-01 11:00:00,12,12.260775851253854,-0.26077585125385383,0.26077585125385383,11,1,7,2022,Friday,SARIMA
2022-07-01 12:00:00,12,13.943217841123255,-1.9432178411232552,1.9432178411232552,12,1,7,2022,Friday,SARIMA
2022-07-01 13:00:00,12,13.350407241686046,-1.350407241686046,1.350407241686046,13,1,7,2022,Friday,SARIMA
2022-07-01 14:00:00,22,15.190152206210175,6.8098477937898245,6.8098477937898245,14,1,7,2022,Friday,SARIMA
2022-07-01 15:00:00,25,15.49551165255872,9.50448834744128,9.50448834744128,15,1,7,2022,Friday,SARIMA
2022-07-01 16:00:00,20,15.464427923370753,4.535572076629247,4.535572076629247,16,1,7,2022,Friday,SARIMA
2022-07-01 17:00:00,24,17.833903526202896,6.166096473797104,6.166096473797104,17,1,7,2022,Friday,SARIMA
2022-07-01 18:00:00,14,15.529670476413328,-1.5296704764133278,1.5296704764133278,18,1,7,2022,Friday,SARIMA
2022-07-01 19:00:00,18,14.316275059623326,3.683724940376674,3.683724940376674,19,1,7,2022,Friday,SARIMA
2022-07-01 20:00:00,10,12.395907137065171,-2.395907137065171,2.395907137065171,20,1,7,2022,Friday,SARIMA
2022-07-01 21:00:00,9,10.638716881509106,-1.6387168815091062,1.6387168815091062,21,1,7,2022,Friday,SARIMA
2022-07-01 22:00:00,11,9.693026589855869,1.3069734101441313,1.3069734101441313,22,1,7,2022,Friday,SARIMA
2022-07-01 23:00:00,18,8.791299288743218,9.208700711256782,9.208700711256782,23,1,7,2022,Friday,SARIMA
2022-07-02 00:00:00,13,11.962034957949214,1.0379650420507858,1.0379650420507858,0,2,7,2022,Saturday,SARIMA
2022-07-02 01:00:00,10,6.856388990522922,3.1436110094770777,3.1436110094770777,1,2,7,2022,Saturday,SARIMA
2022-07-02 02:00:00,11,5.6484593218473025,5.3515406781526975,5.3515406781526975,2,2,7,2022,Saturday,SARIMA
2022-07-02 03:00:00,10,5.301705329928221,4.698294670071779,4.698294670071779,3,2,7,2022,Saturday,SARIMA
2022-07-02 04:00:00,13,6.055200389184541,6.944799610815459,6.944799610815459,4,2,7,2022,Saturday,SARIMA
2022-07-02 05:00:00,3,6.089804482942167,-3.089804482942167,3.089804482942167,5,2,7,2022,Saturday,SARIMA
2022-07-02 06:00:00,8,7.995070008114178,0.004929991885822105,0.004929991885822105,6,2,7,2022,Saturday,SARIMA
2022-07-02 07:00:00,4,9.634688132692228,-5.634688132692228,5.634688132692228,7,2,7,2022,Saturday,SARIMA
2022-07-02 08:00:00,7,13.735099571812786,-6.7350995718127855,6.7350995718127855,8,2,7,2022,Saturday,SARIMA
2022-07-02 09:00:00,11,11.987755156597673,-0.9877551565976734,0.9877551565976734,9,2,7,2022,Saturday,SARIMA
2022-07-02 10:00:00,9,11.079269377411684,-2.079269377411684,2.079269377411684,10,2,7,2022,Saturday,SARIMA
2022-07-02 11:00:00,10,12.260775851253854,-2.260775851253854,2.260775851253854,11,2,7,2022,Saturday,SARIMA
2022-07-02 12:00:00,13,13.943217841123255,-0.9432178411232552,0.9432178411232552,12,2,7,2022,Saturday,SARIMA
2022-07-02 13:00:00,9,13.350407241686046,-4.350407241686046,4.350407241686046,13,2,7,2022,Saturday,SARIMA
2022-07-02 14:00:00,11,15.190152206210175,-4.1901522062101755,4.1901522062101755,14,2,7,2022,Saturday,SARIMA
2022-07-02 15:00:00,15,15.49551165255872,-0.49551165255872043,0.49551165255872043,15,2,7,2022,Saturday,SARIMA
